sec,fargo,desert,maine,modernBaseball,nyny,pnw,texas
1783679,1531911,1851756,1349464,1482232,1495748,1556342,1973017
0,0,22,0,0,0,44,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
30,0,0,24,0,12,0,0
91,0,0,100,6,49,0,35
294,81,0,281,16,17,0,182
182,175,150,200,39,51,0,347
259,329,316,179,31,41,99,409
214,394,444,180,17,21,248,554
299,405,519,88,18,94,332,492
177,360,531,30,6,61,94,460
110,265,469,0,7,9,258,485
13,137,362,0,4,0,283,253
0,0,209,0,0,0,140,137
0,0,45,0,0,0,24,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
12,0,0,42,0,23,0,0
62,0,0,90,11,24,0,40
78,36,0,117,62,71,0,267
30,209,141,239,44,40,0,458
42,316,301,215,82,46,71,604
107,334,430,201,8,103,175,689
128,391,503,87,66,14,107,704
47,301,515,33,9,20,23,649
18,209,466,0,48,19,282,529
11,47,359,0,8,0,83,354
0,0,209,0,0,0,8,150
0,0,46,0,0,0,14,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
25,0,0,70,0,14,0,0
57,0,0,137,140,75,0,64
130,78,0,220,290,34,0,263
226,213,147,288,407,48,0,452
301,323,311,100,340,62,40,596
330,389,369,112,482,7,71,681
407,401,477,135,431,63,104,697
433,313,202,117,326,59,132,643
264,264,407,0,181,23,214,526
80,97,128,0,33,0,231,354
0,0,64,0,0,0,106,149
0,0,22,0,0,0,23,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
23,0,0,69,0,73,0,0
61,0,0,138,137,223,0,60
128,77,0,175,289,349,0,257
454,170,137,264,405,433,0,449
617,68,237,223,351,463,115,594
620,220,14,162,392,431,105,678
558,239,417,146,429,349,296,694
436,272,277,62,326,220,118,636
268,82,36,0,185,73,304,518
83,124,132,0,19,0,86,348
0,13,121,0,0,0,58,147
0,0,46,0,0,0,25,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
54,0,0,35,0,33,0,0
210,0,0,63,131,48,0,58
324,80,0,86,29,37,0,253
460,219,93,130,28,61,0,443
431,333,290,219,18,72,111,587
584,400,13,91,156,58,203,672
523,413,484,77,434,25,268,685
406,369,497,39,330,18,300,633
243,280,14,0,185,17,168,517
73,147,348,0,35,0,240,348
0,6,205,0,0,0,45,149
0,0,27,0,0,0,20,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
18,0,0,32,0,70,0,0
111,0,0,154,53,180,0,34
165,85,0,209,65,237,0,257
464,226,133,131,112,201,0,443
126,341,286,183,80,346,126,587
368,410,315,94,166,316,108,673
80,422,389,138,90,352,267,690
66,379,494,42,56,176,298,638
65,284,451,0,17,75,179,520
50,124,350,0,11,0,211,351
0,7,54,0,0,0,171,151
0,0,51,0,0,0,19,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
60,0,0,31,0,28,0,0
